League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol 1. Lig,12.08.2001 17:00,BATMAN PETROLSPOR,2,1,DARDANELSPOR A.Ş.
Trendyol 1. Lig,12.08.2001 17:00,SAKARYASPOR A.Ş.,4,1,AYDINSPOR
Trendyol 1. Lig,12.08.2001 17:00,ELAZIĞSPOR,1,0,ERCİYESSPOR
Trendyol 1. Lig,12.08.2001 17:00,A.SEBATSPOR,5,4,ALTAY
Trendyol 1. Lig,12.08.2001 17:00,B.B. ANKARASPOR,1,0,ŞEKERSPOR
Trendyol 1. Lig,12.08.2001 17:00,İZMİRSPOR,1,0,GÜMÜŞHANE DOĞANSPOR
Trendyol 1. Lig,12.08.2001 17:00,SİİRT JETPA SPOR,3,2,ERZURUMSPOR
Trendyol 1. Lig,12.08.2001 17:00,SİVASSPOR,1,2,KOMBASSAN KONYASPOR
Trendyol 1. Lig,12.08.2001 19:00,KAYSERİSPOR,1,1,BÜYÜKŞEHİR BLD.SPOR
Trendyol 1. Lig,12.08.2001 19:00,ADANASPOR A.Ş.,3,1,HATAYSPOR
Trendyol 1. Lig,19.08.2001 17:00,DARDANELSPOR A.Ş.,1,0,SAKARYASPOR A.Ş.
Trendyol 1. Lig,19.08.2001 17:00,HATAYSPOR,2,1,SİVASSPOR
Trendyol 1. Lig,19.08.2001 17:00,BÜYÜKŞEHİR BLD.SPOR,4,1,SİİRT JETPA SPOR
Trendyol 1. Lig,19.08.2001 17:00,GÜMÜŞHANE DOĞANSPOR,2,0,KAYSERİSPOR
Trendyol 1. Lig,19.08.2001 17:00,ŞEKERSPOR,0,1,İZMİRSPOR
Trendyol 1. Lig,19.08.2001 17:00,ALTAY,0,0,B.B. ANKARASPOR
Trendyol 1. Lig,19.08.2001 17:00,AYDINSPOR,1,1,ELAZIĞSPOR
Trendyol 1. Lig,19.08.2001 19:00,ERZURUMSPOR,2,1,ADANASPOR A.Ş.
Trendyol 1. Lig,19.08.2001 19:00,ERCİYESSPOR,1,2,A.SEBATSPOR
Trendyol 1. Lig,19.08.2001 19:00,KOMBASSAN KONYASPOR,2,0,BATMAN PETROLSPOR
Trendyol 1. Lig,26.08.2001 17:00,ELAZIĞSPOR,3,0,DARDANELSPOR A.Ş.
Trendyol 1. Lig,26.08.2001 17:00,A.SEBATSPOR,1,1,AYDINSPOR
Trendyol 1. Lig,26.08.2001 17:00,B.B. ANKARASPOR,2,1,ERCİYESSPOR
Trendyol 1. Lig,26.08.2001 17:00,İZMİRSPOR,2,4,ALTAY
Trendyol 1. Lig,26.08.2001 17:00,SİİRT JETPA SPOR,4,2,GÜMÜŞHANE DOĞANSPOR
Trendyol 1. Lig,26.08.2001 17:00,SİVASSPOR,1,1,ERZURUMSPOR
Trendyol 1. Lig,26.08.2001 17:00,HATAYSPOR,1,0,KOMBASSAN KONYASPOR
Trendyol 1. Lig,26.08.2001 19:00,SAKARYASPOR A.Ş.,1,2,BATMAN PETROLSPOR
Trendyol 1. Lig,26.08.2001 19:00,KAYSERİSPOR,2,0,ŞEKERSPOR
Trendyol 1. Lig,26.08.2001 19:00,ADANASPOR A.Ş.,2,0,BÜYÜKŞEHİR BLD.SPOR
Trendyol 1. Lig,01.09.2001 16:30,BÜYÜKŞEHİR BLD.SPOR,1,0,SİVASSPOR
Trendyol 1. Lig,02.09.2001 15:30,BATMAN PETROLSPOR,1,2,ELAZIĞSPOR
Trendyol 1. Lig,02.09.2001 15:30,GÜMÜŞHANE DOĞANSPOR,0,2,ADANASPOR A.Ş.
Trendyol 1. Lig,02.09.2001 16:00,ŞEKERSPOR,2,2,SİİRT JETPA SPOR
Trendyol 1. Lig,02.09.2001 16:30,DARDANELSPOR A.Ş.,3,4,A.SEBATSPOR
Trendyol 1. Lig,02.09.2001 16:30,ALTAY,2,1,KAYSERİSPOR
Trendyol 1. Lig,02.09.2001 16:30,AYDINSPOR,1,1,B.B. ANKARASPOR
Trendyol 1. Lig,02.09.2001 19:00,ERZURUMSPOR,0,1,HATAYSPOR
Trendyol 1. Lig,02.09.2001 19:00,ERCİYESSPOR,2,1,İZMİRSPOR
