League,Date,Home Team,Away Team,Home Score,Away Score
Trendyol 1. Lig,12.08.2001 17:00,BATMAN PETROLSPOR,DARDANELSPOR A.Ş.,2,1
Trendyol 1. Lig,12.08.2001 17:00,SAKARYASPOR A.Ş.,AYDINSPOR,4,1
Trendyol 1. Lig,12.08.2001 17:00,ELAZIĞSPOR,ERCİYESSPOR,1,0
Trendyol 1. Lig,12.08.2001 17:00,A.SEBATSPOR,ALTAY,5,4
Trendyol 1. Lig,12.08.2001 17:00,B.B. ANKARASPOR,ŞEKERSPOR,1,0
Trendyol 1. Lig,12.08.2001 17:00,İZMİRSPOR,GÜMÜŞHANE DOĞANSPOR,1,0
Trendyol 1. Lig,12.08.2001 17:00,SİİRT JETPA SPOR,ERZURUMSPOR,3,2
Trendyol 1. Lig,12.08.2001 17:00,SİVASSPOR,KOMBASSAN KONYASPOR,1,2
Trendyol 1. Lig,12.08.2001 19:00,KAYSERİSPOR,BÜYÜKŞEHİR BLD.SPOR,1,1
Trendyol 1. Lig,12.08.2001 19:00,ADANASPOR A.Ş.,HATAYSPOR,3,1
Trendyol 1. Lig,19.08.2001 17:00,DARDANELSPOR A.Ş.,SAKARYASPOR A.Ş.,1,0
Trendyol 1. Lig,19.08.2001 17:00,HATAYSPOR,SİVASSPOR,2,1
Trendyol 1. Lig,19.08.2001 17:00,BÜYÜKŞEHİR BLD.SPOR,SİİRT JETPA SPOR,4,1
Trendyol 1. Lig,19.08.2001 17:00,GÜMÜŞHANE DOĞANSPOR,KAYSERİSPOR,2,0
Trendyol 1. Lig,19.08.2001 17:00,ŞEKERSPOR,İZMİRSPOR,0,1
Trendyol 1. Lig,19.08.2001 17:00,ALTAY,B.B. ANKARASPOR,0,0
Trendyol 1. Lig,19.08.2001 17:00,AYDINSPOR,ELAZIĞSPOR,1,1
Trendyol 1. Lig,19.08.2001 19:00,ERZURUMSPOR,ADANASPOR A.Ş.,2,1
Trendyol 1. Lig,19.08.2001 19:00,ERCİYESSPOR,A.SEBATSPOR,1,2
Trendyol 1. Lig,19.08.2001 19:00,KOMBASSAN KONYASPOR,BATMAN PETROLSPOR,2,0
Trendyol 1. Lig,26.08.2001 17:00,ELAZIĞSPOR,DARDANELSPOR A.Ş.,3,0
Trendyol 1. Lig,26.08.2001 17:00,A.SEBATSPOR,AYDINSPOR,1,1
Trendyol 1. Lig,26.08.2001 17:00,B.B. ANKARASPOR,ERCİYESSPOR,2,1
Trendyol 1. Lig,26.08.2001 17:00,İZMİRSPOR,ALTAY,2,4
Trendyol 1. Lig,26.08.2001 17:00,SİİRT JETPA SPOR,GÜMÜŞHANE DOĞANSPOR,4,2
Trendyol 1. Lig,26.08.2001 17:00,SİVASSPOR,ERZURUMSPOR,1,1
Trendyol 1. Lig,26.08.2001 17:00,HATAYSPOR,KOMBASSAN KONYASPOR,1,0
Trendyol 1. Lig,26.08.2001 19:00,SAKARYASPOR A.Ş.,BATMAN PETROLSPOR,1,2
Trendyol 1. Lig,26.08.2001 19:00,KAYSERİSPOR,ŞEKERSPOR,2,0
Trendyol 1. Lig,26.08.2001 19:00,ADANASPOR A.Ş.,BÜYÜKŞEHİR BLD.SPOR,2,0
Trendyol 1. Lig,01.09.2001 16:30,BÜYÜKŞEHİR BLD.SPOR,SİVASSPOR,1,0
Trendyol 1. Lig,02.09.2001 15:30,BATMAN PETROLSPOR,ELAZIĞSPOR,1,2
Trendyol 1. Lig,02.09.2001 15:30,GÜMÜŞHANE DOĞANSPOR,ADANASPOR A.Ş.,0,2
Trendyol 1. Lig,02.09.2001 16:00,ŞEKERSPOR,SİİRT JETPA SPOR,2,2
